gene,ensembl_id,token_coverage,n_cells_with_token,is_signal_pathway,n_ko_cells
SPESP1,ENSG00000258484,0.3767,113,False,642
PET100,ENSG00000229833,0.3433,103,False,322
WBP2,ENSG00000132471,0.34,102,False,605
CGAS,ENSG00000164430,0.34,102,False,767
RAB27A,ENSG00000069974,0.3333,100,False,680
E2F1,ENSG00000101412,0.3267,98,False,602
SLC25A13,ENSG00000004864,0.3267,98,False,662
FSTL3,ENSG00000070404,0.3133,94,False,1038
SGK1,ENSG00000118515,0.3067,92,False,606
FBXO32,ENSG00000156804,0.3033,91,False,1037
RNF213,ENSG00000173821,0.2967,89,False,624
AGA,ENSG00000038002,0.28,84,False,1116
DAG1,ENSG00000173402,0.2733,82,False,849
FARSA,ENSG00000179115,0.27,81,False,73
ARMC6,ENSG00000105676,0.2667,80,False,907
CDKN2B,ENSG00000147883,0.2367,71,False,983
SMAD4,ENSG00000141646,0.22,66,False,644
KCNN4,ENSG00000104783,0.2133,64,False,813
TOP1MT,ENSG00000184428,0.2133,64,False,537
SLC26A2,ENSG00000155850,0.2133,64,False,677
NPC1,ENSG00000141458,0.2067,62,False,802
RB1,ENSG00000139687,0.2033,61,False,789
STOM,ENSG00000148175,0.2,60,False,674
SLC19A1,ENSG00000173638,0.1867,56,False,496
MFGE8,ENSG00000140545,0.1867,56,False,985
STX7,ENSG00000079950,0.1833,55,False,607
DLL3,ENSG00000090932,0.1767,53,False,905
IDH2,ENSG00000182054,0.1567,47,False,965
CDKN1A,ENSG00000124762,0.1533,46,True,1049
ISYNA1,ENSG00000105655,0.1533,46,False,575
SLC5A3,ENSG00000198743,0.1433,43,False,709
C6orf226,ENSG00000221821,0.1367,41,False,1015
AEBP1,ENSG00000106624,0.1333,40,False,1302
GSN,ENSG00000148180,0.1233,37,False,952
TPP1,ENSG00000166340,0.12,36,False,562
PROS1,ENSG00000184500,0.1067,32,False,569
CD274,ENSG00000120217,0.1067,32,True,1222
NMRK1,ENSG00000106733,0.1033,31,False,753
FMN1,ENSG00000248905,0.0833,25,False,1015
GAA,ENSG00000171298,0.07,21,False,897
UCN2,ENSG00000145040,0.0633,19,False,473
APOE,ENSG00000130203,0.0567,17,False,1127
