level,n_reps,r_mean,ci_lo,ci_hi,n_genes
2,100,-0.11321098945138014,-0.1595936230350971,-0.057561932055096014,4715
5,100,-0.1273784992751982,-0.15200780996252503,-0.09208899008850241,6914
10,100,-0.12953094440344773,-0.14915498791153708,-0.1035438038835528,8385
20,100,-0.1325547923065127,-0.14298931768412268,-0.1181102165791354,9583
40,50,-0.1344444501433604,-0.14320890051086566,-0.12475378403476307,10524
80,50,-0.13236648470370632,-0.13926472962202574,-0.12495253553180011,11300
160,20,-0.12962950358685124,-0.13459773464979788,-0.12405619119564977,11951
320,20,-0.12433595144774212,-0.12992773281327763,-0.12108846294890485,12571
587,1,-0.1199790386455442,-0.1199790386455442,-0.1199790386455442,13100
