knockout_gene_A,projection_axis_B,A_group,B_group,relation,projection_value_x1e-3,n_contributing_cells,included_in_specificity_comparison
HNRNPH1,CSE1L,random null,non-mitochondrial real,null (random→other axis),-3.3,95,False
HNRNPH1,SUPT6H,random null,non-mitochondrial real,null (random→other axis),-6.4,95,False
PARS2,HSPA9,random null,mitochondrial,null (random→mitochondrial axis),-12.0,13,False
PARS2,PHB,random null,mitochondrial,null (random→mitochondrial axis),-31.7,13,False
PARS2,PHB2,random null,mitochondrial,null (random→mitochondrial axis),-18.4,13,False
PARS2,GATA1,random null,non-mitochondrial real,null (random→other axis),10.5,13,False
PARS2,CSE1L,random null,non-mitochondrial real,null (random→other axis),-19.5,13,False
PARS2,SUPT6H,random null,non-mitochondrial real,null (random→other axis),-6.3,13,False
ZNF358,HSPA9,random null,mitochondrial,null (random→mitochondrial axis),-10.7,9,False
ZNF358,PHB,random null,mitochondrial,null (random→mitochondrial axis),-29.4,9,False
ZNF358,PHB2,random null,mitochondrial,null (random→mitochondrial axis),-12.3,9,False
ZNF358,GATA1,random null,non-mitochondrial real,null (random→other axis),7.3,9,False
ZNF358,CSE1L,random null,non-mitochondrial real,null (random→other axis),-36.7,9,False
ZNF358,SUPT6H,random null,non-mitochondrial real,null (random→other axis),-10.1,9,False
